Model,MDO4054-3
Firmware Version,2.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.05978
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,-4.02
,
,
,
Label,
TIME,CH1
-3.5500e-02,14.76
-3.5480e-02,14.76
-3.5460e-02,15
-3.5440e-02,15.24
-3.5420e-02,15.16
-3.5400e-02,14.68
-3.5380e-02,14.92
-3.5360e-02,15
-3.5340e-02,15.24
-3.5320e-02,15.08
-3.5300e-02,14.76
-3.5280e-02,14.76
-3.5260e-02,15
-3.5240e-02,15.24
-3.5220e-02,15.08
-3.5200e-02,14.68
-3.5180e-02,14.68
-3.5160e-02,14.92
-3.5140e-02,15.16
-3.5120e-02,15.16
-3.5100e-02,14.68
-3.5080e-02,14.84
-3.5060e-02,15
-3.5040e-02,15.24
-3.5020e-02,15.08
-3.5000e-02,14.68
-3.4980e-02,14.76
-3.4960e-02,15
-3.4940e-02,15.08
-3.4920e-02,15
-3.4900e-02,14.84
-3.4880e-02,14.84
-3.4860e-02,15
-3.4840e-02,15.16
-3.4820e-02,15
-3.4800e-02,14.68
-3.4780e-02,14.6
-3.4760e-02,14.92
-3.4740e-02,15.16
-3.4720e-02,14.92
-3.4700e-02,14.68
-3.4680e-02,14.76
-3.4660e-02,14.92
-3.4640e-02,15.16
-3.4620e-02,14.92
-3.4600e-02,14.68
-3.4580e-02,14.76
-3.4560e-02,15
-3.4540e-02,15.24
-3.4520e-02,14.92
-3.4500e-02,14.84
-3.4480e-02,14.76
-3.4460e-02,15
-3.4440e-02,15.24
-3.4420e-02,15.08
-3.4400e-02,14.76
-3.4380e-02,14.84
-3.4360e-02,14.92
-3.4340e-02,15.16
-3.4320e-02,15.08
-3.4300e-02,14.76
-3.4280e-02,14.84
-3.4260e-02,15.08
-3.4240e-02,15.16
-3.4220e-02,15
-3.4200e-02,14.68
-3.4180e-02,14.76
-3.4160e-02,15.08
-3.4140e-02,15.16
-3.4120e-02,15.08
-3.4100e-02,14.68
-3.4080e-02,14.76
-3.4060e-02,15
-3.4040e-02,15.24
-3.4020e-02,15.08
-3.4000e-02,14.68
-3.3980e-02,14.76
-3.3960e-02,15
-3.3940e-02,15.32
-3.3920e-02,15
-3.3900e-02,14.84
-3.3880e-02,14.76
-3.3860e-02,15.16
-3.3840e-02,15.32
-3.3820e-02,15.16
-3.3800e-02,14.76
-3.3780e-02,14.92
-3.3760e-02,15
-3.3740e-02,15.24
-3.3720e-02,15.08
-3.3700e-02,14.84
-3.3680e-02,14.84
-3.3660e-02,15.16
-3.3640e-02,15.24
-3.3620e-02,15
-3.3600e-02,14.84
-3.3580e-02,15
-3.3560e-02,15
-3.3540e-02,15.24
-3.3520e-02,15.08
-3.3500e-02,14.84
-3.3480e-02,14.84
-3.3460e-02,15.08
-3.3440e-02,15.16
-3.3420e-02,15
-3.3400e-02,14.76
-3.3380e-02,14.76
-3.3360e-02,15
-3.3340e-02,15.16
-3.3320e-02,15
-3.3300e-02,14.84
-3.3280e-02,14.68
-3.3260e-02,14.92
-3.3240e-02,15.24
-3.3220e-02,15.08
-3.3200e-02,14.68
-3.3180e-02,14.76
-3.3160e-02,15.08
-3.3140e-02,15.08
-3.3120e-02,15
-3.3100e-02,14.68
-3.3080e-02,14.76
-3.3060e-02,15
-3.3040e-02,15.16
-3.3020e-02,15
-3.3000e-02,14.76
-3.2980e-02,14.76
-3.2960e-02,15.08
-3.2940e-02,15.08
-3.2920e-02,15.08
-3.2900e-02,14.68
-3.2880e-02,14.84
-3.2860e-02,15
-3.2840e-02,15.32
-3.2820e-02,15
-3.2800e-02,14.84
-3.2780e-02,14.84
-3.2760e-02,15.08
-3.2740e-02,15.32
-3.2720e-02,15.08
-3.2700e-02,14.76
-3.2680e-02,14.84
-3.2660e-02,15
-3.2640e-02,15.24
-3.2620e-02,15
-3.2600e-02,14.6
-3.2580e-02,14.76
-3.2560e-02,15
-3.2540e-02,15.24
-3.2520e-02,15.16
-3.2500e-02,14.76
-3.2480e-02,14.68
-3.2460e-02,15.08
-3.2440e-02,15.16
-3.2420e-02,15
-3.2400e-02,14.68
-3.2380e-02,14.76
-3.2360e-02,15
-3.2340e-02,15.24
-3.2320e-02,14.92
-3.2300e-02,14.68
-3.2280e-02,14.76
-3.2260e-02,15.08
-3.2240e-02,15.24
-3.2220e-02,15
-3.2200e-02,14.68
-3.2180e-02,14.84
-3.2160e-02,15.08
-3.2140e-02,15.24
-3.2120e-02,15.08
-3.2100e-02,14.68
-3.2080e-02,14.84
-3.2060e-02,15.08
-3.2040e-02,15.24
-3.2020e-02,15.08
-3.2000e-02,14.84
-3.1980e-02,14.76
-3.1960e-02,15.08
-3.1940e-02,15.24
-3.1920e-02,15.08
-3.1900e-02,14.76
-3.1880e-02,14.76
-3.1860e-02,15.08
-3.1840e-02,15.24
-3.1820e-02,15.16
-3.1800e-02,14.68
-3.1780e-02,14.76
-3.1760e-02,15.08
-3.1740e-02,15.4
-3.1720e-02,15.08
-3.1700e-02,14.68
-3.1680e-02,14.92
-3.1660e-02,15.08
-3.1640e-02,15.24
-3.1620e-02,14.92
-3.1600e-02,14.68
-3.1580e-02,14.68
-3.1560e-02,15
-3.1540e-02,15.24
-3.1520e-02,15
-3.1500e-02,14.68
-3.1480e-02,14.92
-3.1460e-02,15
-3.1440e-02,15.16
-3.1420e-02,15.08
-3.1400e-02,14.6
-3.1380e-02,14.76
-3.1360e-02,14.92
-3.1340e-02,15.16
-3.1320e-02,15
-3.1300e-02,14.6
-3.1280e-02,14.76
-3.1260e-02,14.92
-3.1240e-02,15.24
-3.1220e-02,15
-3.1200e-02,14.76
-3.1180e-02,14.84
-3.1160e-02,15.08
-3.1140e-02,15.24
-3.1120e-02,15
-3.1100e-02,14.76
-3.1080e-02,14.76
-3.1060e-02,15.16
-3.1040e-02,15.24
-3.1020e-02,15
-3.1000e-02,14.76
-3.0980e-02,14.68
-3.0960e-02,15.24
-3.0940e-02,15.24
-3.0920e-02,14.92
-3.0900e-02,14.68
-3.0880e-02,14.84
-3.0860e-02,15.08
-3.0840e-02,15.24
-3.0820e-02,15.08
-3.0800e-02,14.84
-3.0780e-02,14.92
-3.0760e-02,15
-3.0740e-02,15.24
-3.0720e-02,15.08
-3.0700e-02,14.84
-3.0680e-02,14.84
-3.0660e-02,15.08
-3.0640e-02,15.32
-3.0620e-02,15.08
-3.0600e-02,14.84
-3.0580e-02,14.92
-3.0560e-02,15.16
-3.0540e-02,15.32
-3.0520e-02,15.08
-3.0500e-02,14.76
-3.0480e-02,14.92
-3.0460e-02,15.08
-3.0440e-02,15.24
-3.0420e-02,15.16
-3.0400e-02,14.84
-3.0380e-02,14.76
-3.0360e-02,15.16
-3.0340e-02,15.16
-3.0320e-02,15.08
-3.0300e-02,14.84
