Model,MDO4054-3
Firmware Version,2.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.05978
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,-4.02
,
,
,
Label,
TIME,CH1
-1.9460e-02,15.16
-1.9440e-02,15.32
-1.9420e-02,15
-1.9400e-02,14.68
-1.9380e-02,14.84
-1.9360e-02,15.16
-1.9340e-02,15.16
-1.9320e-02,15.08
-1.9300e-02,14.84
-1.9280e-02,14.92
-1.9260e-02,15.16
-1.9240e-02,15.24
-1.9220e-02,15
-1.9200e-02,14.76
-1.9180e-02,14.92
-1.9160e-02,15.08
-1.9140e-02,15.24
-1.9120e-02,14.84
-1.9100e-02,14.68
-1.9080e-02,14.84
-1.9060e-02,15.16
-1.9040e-02,15.24
-1.9020e-02,15
-1.9000e-02,14.76
-1.8980e-02,14.92
-1.8960e-02,15.24
-1.8940e-02,15.32
-1.8920e-02,15.08
-1.8900e-02,14.84
-1.8880e-02,14.92
-1.8860e-02,15.08
-1.8840e-02,15.24
-1.8820e-02,15.08
-1.8800e-02,14.76
-1.8780e-02,15
-1.8760e-02,15.24
-1.8740e-02,15.24
-1.8720e-02,15
-1.8700e-02,14.84
-1.8680e-02,14.92
-1.8660e-02,15.08
-1.8640e-02,15.16
-1.8620e-02,15.08
-1.8600e-02,14.84
-1.8580e-02,15
-1.8560e-02,15.24
-1.8540e-02,15.32
-1.8520e-02,15.08
-1.8500e-02,14.92
-1.8480e-02,14.92
-1.8460e-02,15.24
-1.8440e-02,15.24
-1.8420e-02,15.08
-1.8400e-02,14.92
-1.8380e-02,14.92
-1.8360e-02,15.16
-1.8340e-02,15.4
-1.8320e-02,15
-1.8300e-02,14.68
-1.8280e-02,15
-1.8260e-02,15.24
-1.8240e-02,15.32
-1.8220e-02,15
-1.8200e-02,14.76
-1.8180e-02,14.92
-1.8160e-02,15.16
-1.8140e-02,15.24
-1.8120e-02,15.16
-1.8100e-02,14.84
-1.8080e-02,14.84
-1.8060e-02,15.16
-1.8040e-02,15.16
-1.8020e-02,15
-1.8000e-02,14.76
-1.7980e-02,15
-1.7960e-02,15.16
-1.7940e-02,15.24
-1.7920e-02,15
-1.7900e-02,14.68
-1.7880e-02,14.92
-1.7860e-02,15.24
-1.7840e-02,15.16
-1.7820e-02,15
-1.7800e-02,14.76
-1.7780e-02,14.92
-1.7760e-02,15.24
-1.7740e-02,15.24
-1.7720e-02,15.08
-1.7700e-02,14.76
-1.7680e-02,14.92
-1.7660e-02,15.16
-1.7640e-02,15.24
-1.7620e-02,15
-1.7600e-02,14.84
-1.7580e-02,14.84
-1.7560e-02,15.08
-1.7540e-02,15.24
-1.7520e-02,15
-1.7500e-02,14.76
-1.7480e-02,14.84
-1.7460e-02,15.16
-1.7440e-02,15.24
-1.7420e-02,14.92
-1.7400e-02,14.84
-1.7380e-02,14.84
-1.7360e-02,15.16
-1.7340e-02,15.32
-1.7320e-02,14.92
-1.7300e-02,14.76
-1.7280e-02,14.92
-1.7260e-02,15.08
-1.7240e-02,15.32
-1.7220e-02,15
-1.7200e-02,14.84
-1.7180e-02,14.84
-1.7160e-02,15.24
-1.7140e-02,15.32
-1.7120e-02,15
-1.7100e-02,14.92
-1.7080e-02,15
-1.7060e-02,15.16
-1.7040e-02,15.24
-1.7020e-02,15.08
-1.7000e-02,14.84
-1.6980e-02,14.84
-1.6960e-02,15.16
-1.6940e-02,15.32
-1.6920e-02,14.92
-1.6900e-02,14.76
-1.6880e-02,14.92
-1.6860e-02,15.16
-1.6840e-02,15.24
-1.6820e-02,15
-1.6800e-02,14.68
-1.6780e-02,14.92
-1.6760e-02,15.08
-1.6740e-02,15.16
-1.6720e-02,15
-1.6700e-02,14.84
-1.6680e-02,14.84
-1.6660e-02,15.16
-1.6640e-02,15.4
-1.6620e-02,15
-1.6600e-02,14.84
-1.6580e-02,14.92
-1.6560e-02,15.24
-1.6540e-02,15.24
-1.6520e-02,15
-1.6500e-02,14.84
-1.6480e-02,14.84
-1.6460e-02,15.16
-1.6440e-02,15.24
-1.6420e-02,14.92
-1.6400e-02,14.84
-1.6380e-02,14.92
-1.6360e-02,15
-1.6340e-02,15.24
-1.6320e-02,15.08
-1.6300e-02,14.84
-1.6280e-02,14.92
-1.6260e-02,15.24
-1.6240e-02,15.16
-1.6220e-02,15
-1.6200e-02,14.76
-1.6180e-02,14.92
-1.6160e-02,15.16
-1.6140e-02,15.24
-1.6120e-02,15.08
-1.6100e-02,14.84
-1.6080e-02,14.84
-1.6060e-02,15.16
-1.6040e-02,15.32
-1.6020e-02,15
-1.6000e-02,14.76
-1.5980e-02,14.92
-1.5960e-02,15.16
-1.5940e-02,15.24
-1.5920e-02,14.92
-1.5900e-02,14.68
-1.5880e-02,15
-1.5860e-02,15.16
-1.5840e-02,15.24
-1.5820e-02,15
-1.5800e-02,14.84
-1.5780e-02,14.84
-1.5760e-02,15.24
-1.5740e-02,15.16
-1.5720e-02,15
-1.5700e-02,14.84
-1.5680e-02,14.92
-1.5660e-02,15.32
-1.5640e-02,15.24
-1.5620e-02,14.92
-1.5600e-02,14.76
-1.5580e-02,14.84
-1.5560e-02,15.24
-1.5540e-02,15.24
-1.5520e-02,15.08
-1.5500e-02,14.92
-1.5480e-02,14.92
-1.5460e-02,15.08
-1.5440e-02,15.24
-1.5420e-02,15.08
-1.5400e-02,14.84
-1.5380e-02,14.92
-1.5360e-02,15.08
-1.5340e-02,15.16
-1.5320e-02,15.08
-1.5300e-02,14.76
-1.5280e-02,15
-1.5260e-02,15.16
-1.5240e-02,15.08
-1.5220e-02,14.92
-1.5200e-02,14.76
-1.5180e-02,14.84
-1.5160e-02,15.16
-1.5140e-02,15.24
-1.5120e-02,15.08
-1.5100e-02,14.6
-1.5080e-02,14.92
-1.5060e-02,15.16
-1.5040e-02,15.16
-1.5020e-02,15.08
-1.5000e-02,14.76
-1.4980e-02,14.84
-1.4960e-02,15.08
-1.4940e-02,15.24
-1.4920e-02,14.92
-1.4900e-02,14.76
-1.4880e-02,14.92
-1.4860e-02,15.16
-1.4840e-02,15.08
-1.4820e-02,14.92
-1.4800e-02,14.68
-1.4780e-02,14.92
-1.4760e-02,15.08
-1.4740e-02,15.16
-1.4720e-02,15
-1.4700e-02,14.84
-1.4680e-02,14.84
-1.4660e-02,15.08
-1.4640e-02,15.24
-1.4620e-02,14.92
-1.4600e-02,14.76
-1.4580e-02,14.84
-1.4560e-02,15.16
-1.4540e-02,15.08
-1.4520e-02,14.92
-1.4500e-02,14.68
-1.4480e-02,14.84
-1.4460e-02,15.08
-1.4440e-02,15.24
-1.4420e-02,15
-1.4400e-02,14.68
-1.4380e-02,14.84
-1.4360e-02,15
-1.4340e-02,15.16
-1.4320e-02,15
-1.4300e-02,14.68
-1.4280e-02,15
-1.4260e-02,15.16
-1.4240e-02,15.32
-1.4220e-02,15
-1.4200e-02,14.76
-1.4180e-02,15
-1.4160e-02,15.24
-1.4140e-02,15.24
-1.4120e-02,15.08
-1.4100e-02,14.76
-1.4080e-02,15
-1.4060e-02,15.32
-1.4040e-02,15.24
-1.4020e-02,15
-1.4000e-02,14.84
-1.3980e-02,15
-1.3960e-02,15.16
-1.3940e-02,15.24
-1.3920e-02,15.08
-1.3900e-02,14.76
-1.3880e-02,14.92
-1.3860e-02,15.24
-1.3840e-02,15.24
-1.3820e-02,14.92
-1.3800e-02,14.84
-1.3780e-02,15
-1.3760e-02,15.24
-1.3740e-02,15.32
-1.3720e-02,14.92
-1.3700e-02,14.76
-1.3680e-02,15.08
-1.3660e-02,15.16
-1.3640e-02,15.32
-1.3620e-02,15
-1.3600e-02,14.92
-1.3580e-02,15
-1.3560e-02,15.24
-1.3540e-02,15.4
-1.3520e-02,15
-1.3500e-02,14.84
-1.3480e-02,15
-1.3460e-02,15.24
-1.3440e-02,15.24
-1.3420e-02,15
-1.3400e-02,14.84
-1.3380e-02,15
-1.3360e-02,15.16
-1.3340e-02,15.24
-1.3320e-02,15
-1.3300e-02,14.84
-1.3280e-02,15
-1.3260e-02,15.24
-1.3240e-02,15.32
-1.3220e-02,15.08
-1.3200e-02,14.76
-1.3180e-02,14.92
-1.3160e-02,15.16
-1.3140e-02,15.24
-1.3120e-02,15
-1.3100e-02,14.76
-1.3080e-02,14.92
-1.3060e-02,15.24
-1.3040e-02,15.24
-1.3020e-02,15
-1.3000e-02,14.84
-1.2980e-02,14.92
-1.2960e-02,15.24
-1.2940e-02,15.32
-1.2920e-02,15
-1.2900e-02,14.76
-1.2880e-02,14.84
-1.2860e-02,15.24
-1.2840e-02,15.24
-1.2820e-02,14.92
-1.2800e-02,14.84
-1.2780e-02,14.84
-1.2760e-02,15.16
-1.2740e-02,15.24
-1.2720e-02,15
-1.2700e-02,14.84
-1.2680e-02,15
-1.2660e-02,15.08
-1.2640e-02,15.24
-1.2620e-02,15.08
-1.2600e-02,14.76
-1.2580e-02,15
-1.2560e-02,15.24
-1.2540e-02,15.16
-1.2520e-02,15
-1.2500e-02,14.92
-1.2480e-02,15
-1.2460e-02,15.24
-1.2440e-02,15.24
-1.2420e-02,15
-1.2400e-02,14.76
-1.2380e-02,14.92
-1.2360e-02,15.08
-1.2340e-02,15.08
-1.2320e-02,15
-1.2300e-02,14.84
-1.2280e-02,15
-1.2260e-02,15.24
-1.2240e-02,15.24
-1.2220e-02,14.92
-1.2200e-02,14.76
-1.2180e-02,14.84
-1.2160e-02,15.16
-1.2140e-02,15.24
-1.2120e-02,15
-1.2100e-02,14.76
-1.2080e-02,14.92
-1.2060e-02,15.24
-1.2040e-02,15.16
-1.2020e-02,15.08
-1.2000e-02,14.92
-1.1980e-02,14.84
-1.1960e-02,15.24
-1.1940e-02,15.16
-1.1920e-02,15
-1.1900e-02,14.76
-1.1880e-02,14.92
-1.1860e-02,15.08
-1.1840e-02,15.16
-1.1820e-02,15
-1.1800e-02,14.68
-1.1780e-02,14.84
-1.1760e-02,15.16
-1.1740e-02,15.16
-1.1720e-02,14.84
-1.1700e-02,14.84
-1.1680e-02,14.92
-1.1660e-02,15.16
-1.1640e-02,15.16
-1.1620e-02,14.92
-1.1600e-02,14.68
-1.1580e-02,14.84
-1.1560e-02,15.08
-1.1540e-02,15.08
-1.1520e-02,15.08
-1.1500e-02,14.84
-1.1480e-02,14.92
-1.1460e-02,15.16
-1.1440e-02,15.24
-1.1420e-02,15
-1.1400e-02,14.68
-1.1380e-02,14.92
-1.1360e-02,15.24
-1.1340e-02,15.08
-1.1320e-02,14.84
-1.1300e-02,14.84
-1.1280e-02,14.76
-1.1260e-02,15.08
-1.1240e-02,15.16
-1.1220e-02,14.84
-1.1200e-02,14.68
-1.1180e-02,14.84
-1.1160e-02,15
-1.1140e-02,15.24
-1.1120e-02,14.84
-1.1100e-02,14.68
-1.1080e-02,14.92
-1.1060e-02,15.08
-1.1040e-02,15.08
-1.1020e-02,14.84
-1.1000e-02,14.76
-1.0980e-02,14.92
-1.0960e-02,15.08
-1.0940e-02,15.16
-1.0920e-02,14.92
-1.0900e-02,14.6
-1.0880e-02,14.84
-1.0860e-02,15.16
-1.0840e-02,15.16
-1.0820e-02,14.92
-1.0800e-02,14.76
-1.0780e-02,14.84
-1.0760e-02,15.08
-1.0740e-02,15.16
-1.0720e-02,14.84
-1.0700e-02,14.68
-1.0680e-02,14.92
-1.0660e-02,15.24
-1.0640e-02,15.24
-1.0620e-02,15
-1.0600e-02,14.68
-1.0580e-02,14.84
-1.0560e-02,15.24
-1.0540e-02,15.16
-1.0520e-02,14.92
-1.0500e-02,14.76
-1.0480e-02,15
-1.0460e-02,15.24
-1.0440e-02,15.24
-1.0420e-02,14.92
-1.0400e-02,14.76
-1.0380e-02,14.92
-1.0360e-02,15.32
-1.0340e-02,15.08
-1.0320e-02,14.92
-1.0300e-02,14.84
-1.0280e-02,15
-1.0260e-02,15.24
-1.0240e-02,15.24
-1.0220e-02,15
-1.0200e-02,14.84
-1.0180e-02,14.92
-1.0160e-02,15.24
-1.0140e-02,15.4
-1.0120e-02,15
-1.0100e-02,14.84
-1.0080e-02,14.92
-1.0060e-02,15.16
-1.0040e-02,15.24
-1.0020e-02,15
-1.0000e-02,14.6
-9.9800e-03,15
-9.9600e-03,15.16
-9.9400e-03,15.16
-9.9200e-03,14.92
-9.9000e-03,14.92
-9.8800e-03,15
-9.8600e-03,15.32
-9.8400e-03,15.32
-9.8200e-03,15
-9.8000e-03,14.84
-9.7800e-03,14.92
-9.7600e-03,15.32
-9.7400e-03,15.24
-9.7200e-03,14.92
-9.7000e-03,14.68
-9.6800e-03,14.92
-9.6600e-03,15.16
-9.6400e-03,15.16
-9.6200e-03,14.84
-9.6000e-03,14.68
-9.5800e-03,14.92
-9.5600e-03,15
-9.5400e-03,15.08
-9.5200e-03,14.84
-9.5000e-03,14.68
-9.4800e-03,14.76
-9.4600e-03,15.16
-9.4400e-03,15.16
-9.4200e-03,15
-9.4000e-03,14.76
-9.3800e-03,14.92
-9.3600e-03,15.24
-9.3400e-03,15.16
-9.3200e-03,15
-9.3000e-03,14.76
-9.2800e-03,14.92
-9.2600e-03,15.16
-9.2400e-03,15.24
-9.2200e-03,14.84
-9.2000e-03,14.68
-9.1800e-03,14.92
-9.1600e-03,15.24
-9.1400e-03,15.16
-9.1200e-03,14.92
-9.1000e-03,14.76
-9.0800e-03,14.84
-9.0600e-03,15.24
-9.0400e-03,15.24
-9.0200e-03,15
-9.0000e-03,14.84
-8.9800e-03,14.92
-8.9600e-03,15.16
-8.9400e-03,15.16
-8.9200e-03,14.92
-8.9000e-03,14.84
-8.8800e-03,15
-8.8600e-03,15.24
-8.8400e-03,15.24
-8.8200e-03,14.92
-8.8000e-03,14.68
-8.7800e-03,14.84
-8.7600e-03,15.24
-8.7400e-03,15.16
-8.7200e-03,15
-8.7000e-03,14.68
-8.6800e-03,15
-8.6600e-03,15.08
-8.6400e-03,15.24
-8.6200e-03,14.92
-8.6000e-03,14.76
-8.5800e-03,14.84
-8.5600e-03,15.24
-8.5400e-03,15.16
-8.5200e-03,14.84
-8.5000e-03,14.76
-8.4800e-03,14.84
-8.4600e-03,15.16
-8.4400e-03,15.24
-8.4200e-03,14.84
-8.4000e-03,14.84
-8.3800e-03,14.92
-8.3600e-03,15.08
-8.3400e-03,15.24
-8.3200e-03,14.92
-8.3000e-03,14.84
-8.2800e-03,14.92
-8.2600e-03,15.16
-8.2400e-03,15.24
-8.2200e-03,14.92
-8.2000e-03,14.84
-8.1800e-03,15
-8.1600e-03,15.08
-8.1400e-03,15.16
-8.1200e-03,14.84
-8.1000e-03,14.68
-8.0800e-03,14.92
-8.0600e-03,15.24
-8.0400e-03,15.24
-8.0200e-03,14.84
-8.0000e-03,14.84
-7.9800e-03,14.84
-7.9600e-03,15.24
-7.9400e-03,15.16
-7.9200e-03,15
-7.9000e-03,14.76
-7.8800e-03,14.84
-7.8600e-03,15.24
-7.8400e-03,15.24
-7.8200e-03,15
-7.8000e-03,14.68
-7.7800e-03,15
-7.7600e-03,15.24
-7.7400e-03,15.24
-7.7200e-03,14.84
-7.7000e-03,14.84
-7.6800e-03,14.84
-7.6600e-03,15.24
-7.6400e-03,15.24
-7.6200e-03,14.84
-7.6000e-03,14.76
-7.5800e-03,14.92
-7.5600e-03,15.24
-7.5400e-03,15.16
-7.5200e-03,15
-7.5000e-03,14.84
-7.4800e-03,14.84
-7.4600e-03,15.16
-7.4400e-03,15.24
-7.4200e-03,14.92
-7.4000e-03,14.68
-7.3800e-03,14.84
-7.3600e-03,15.16
-7.3400e-03,15.24
-7.3200e-03,14.92
-7.3000e-03,14.76
-7.2800e-03,15
-7.2600e-03,15.24
-7.2400e-03,15.24
-7.2200e-03,14.92
-7.2000e-03,14.84
-7.1800e-03,14.92
-7.1600e-03,15.24
-7.1400e-03,15.24
-7.1200e-03,15
-7.1000e-03,14.92
-7.0800e-03,14.84
-7.0600e-03,15.24
-7.0400e-03,15.24
-7.0200e-03,14.92
-7.0000e-03,14.68
-6.9800e-03,15
-6.9600e-03,15.24
-6.9400e-03,15.16
-6.9200e-03,14.92
-6.9000e-03,14.76
-6.8800e-03,14.92
-6.8600e-03,15.08
-6.8400e-03,15.24
-6.8200e-03,14.92
-6.8000e-03,14.68
-6.7800e-03,15
-6.7600e-03,15.24
-6.7400e-03,15.24
-6.7200e-03,14.92
-6.7000e-03,14.84
-6.6800e-03,14.92
-6.6600e-03,15.24
-6.6400e-03,15.16
-6.6200e-03,14.92
-6.6000e-03,14.76
-6.5800e-03,14.84
-6.5600e-03,15.24
-6.5400e-03,15.16
-6.5200e-03,15
-6.5000e-03,14.68
-6.4800e-03,14.92
-6.4600e-03,15.24
-6.4400e-03,15.16
-6.4200e-03,15
-6.4000e-03,14.76
-6.3800e-03,14.92
-6.3600e-03,15.24
-6.3400e-03,15.24
-6.3200e-03,15
-6.3000e-03,14.76
-6.2800e-03,15
-6.2600e-03,15.24
-6.2400e-03,15.32
-6.2200e-03,14.84
-6.2000e-03,14.84
-6.1800e-03,15
-6.1600e-03,15.08
-6.1400e-03,15.08
-6.1200e-03,14.84
-6.1000e-03,14.84
-6.0800e-03,15
-6.0600e-03,15.16
-6.0400e-03,15.16
-6.0200e-03,14.84
-6.0000e-03,14.68
-5.9800e-03,14.84
-5.9600e-03,15.08
-5.9400e-03,15
-5.9200e-03,14.84
-5.9000e-03,14.68
-5.8800e-03,14.84
-5.8600e-03,15.08
-5.8400e-03,15.08
-5.8200e-03,15
-5.8000e-03,14.68
-5.7800e-03,14.84
-5.7600e-03,15.16
-5.7400e-03,15.08
-5.7200e-03,14.84
-5.7000e-03,14.76
-5.6800e-03,14.84
-5.6600e-03,15.24
-5.6400e-03,15.24
-5.6200e-03,14.84
-5.6000e-03,14.84
-5.5800e-03,14.84
-5.5600e-03,15.16
-5.5400e-03,15.24
-5.5200e-03,15
-5.5000e-03,14.84
-5.4800e-03,14.92
-5.4600e-03,15.24
-5.4400e-03,15.24
-5.4200e-03,15
-5.4000e-03,14.84
-5.3800e-03,14.92
-5.3600e-03,15
-5.3400e-03,15.16
-5.3200e-03,14.92
-5.3000e-03,14.68
-5.2800e-03,14.92
-5.2600e-03,15.24
-5.2400e-03,15.24
-5.2200e-03,15
-5.2000e-03,14.84
-5.1800e-03,14.84
-5.1600e-03,15.24
-5.1400e-03,15.16
-5.1200e-03,14.84
-5.1000e-03,14.76
-5.0800e-03,15
-5.0600e-03,15.16
-5.0400e-03,15.16
-5.0200e-03,14.84
-5.0000e-03,14.76
-4.9800e-03,14.84
-4.9600e-03,15.24
-4.9400e-03,15.16
-4.9200e-03,14.92
-4.9000e-03,14.84
-4.8800e-03,14.84
-4.8600e-03,15.24
-4.8400e-03,15.24
-4.8200e-03,14.84
-4.8000e-03,14.68
-4.7800e-03,14.92
-4.7600e-03,15.16
-4.7400e-03,15.16
-4.7200e-03,14.92
-4.7000e-03,14.68
-4.6800e-03,14.92
-4.6600e-03,15.24
-4.6400e-03,15.16
-4.6200e-03,14.84
-4.6000e-03,14.84
-4.5800e-03,14.92
-4.5600e-03,15.24
-4.5400e-03,15.08
-4.5200e-03,14.92
-4.5000e-03,14.76
-4.4800e-03,14.84
-4.4600e-03,15.08
-4.4400e-03,15.16
-4.4200e-03,14.84
-4.4000e-03,14.76
-4.3800e-03,14.84
-4.3600e-03,15.16
-4.3400e-03,15.08
-4.3200e-03,14.76
-4.3000e-03,14.68
-4.2800e-03,14.84
-4.2600e-03,15.16
-4.2400e-03,15.16
-4.2200e-03,14.84
-4.2000e-03,14.76
-4.1800e-03,14.84
-4.1600e-03,15.16
-4.1400e-03,15.16
-4.1200e-03,14.84
-4.1000e-03,14.76
-4.0800e-03,14.84
-4.0600e-03,15.24
-4.0400e-03,15.24
-4.0200e-03,14.84
-4.0000e-03,14.76
-3.9800e-03,15
-3.9600e-03,15.24
-3.9400e-03,15.16
-3.9200e-03,14.84
-3.9000e-03,14.76
-3.8800e-03,14.84
-3.8600e-03,15.16
-3.8400e-03,15.16
-3.8200e-03,14.84
-3.8000e-03,14.84
-3.7800e-03,14.92
-3.7600e-03,15.24
-3.7400e-03,15.24
-3.7200e-03,14.84
-3.7000e-03,14.84
-3.6800e-03,14.92
-3.6600e-03,15.24
-3.6400e-03,15.24
-3.6200e-03,14.92
-3.6000e-03,14.76
-3.5800e-03,15
-3.5600e-03,15.24
-3.5400e-03,15.24
-3.5200e-03,14.92
-3.5000e-03,14.84
-3.4800e-03,15
-3.4600e-03,15.16
-3.4400e-03,15
-3.4200e-03,14.92
-3.4000e-03,14.68
-3.3800e-03,14.92
-3.3600e-03,15.16
-3.3400e-03,15.24
-3.3200e-03,14.84
-3.3000e-03,14.68
-3.2800e-03,14.92
-3.2600e-03,15.16
-3.2400e-03,15.16
-3.2200e-03,15
-3.2000e-03,14.84
-3.1800e-03,14.84
-3.1600e-03,15.24
-3.1400e-03,15.16
-3.1200e-03,15
-3.1000e-03,14.68
-3.0800e-03,15
-3.0600e-03,15.24
-3.0400e-03,15.24
-3.0200e-03,15
-3.0000e-03,14.76
-2.9800e-03,15
-2.9600e-03,15.32
-2.9400e-03,15.16
-2.9200e-03,14.92
-2.9000e-03,14.84
-2.8800e-03,15
-2.8600e-03,15.24
-2.8400e-03,15.24
-2.8200e-03,15
-2.8000e-03,14.76
-2.7800e-03,15
-2.7600e-03,15.24
-2.7400e-03,15.24
-2.7200e-03,15
-2.7000e-03,14.84
-2.6800e-03,15
-2.6600e-03,15.24
-2.6400e-03,15.24
-2.6200e-03,15
-2.6000e-03,14.68
-2.5800e-03,14.92
-2.5600e-03,15.4
-2.5400e-03,15.24
-2.5200e-03,14.92
-2.5000e-03,14.84
-2.4800e-03,15
-2.4600e-03,15.32
-2.4400e-03,15.08
-2.4200e-03,14.92
-2.4000e-03,14.76
-2.3800e-03,14.84
-2.3600e-03,15.24
-2.3400e-03,15.08
-2.3200e-03,15
-2.3000e-03,14.76
-2.2800e-03,14.84
-2.2600e-03,15.24
-2.2400e-03,15.16
-2.2200e-03,15
-2.2000e-03,14.84
-2.1800e-03,14.84
-2.1600e-03,15.24
-2.1400e-03,15.32
-2.1200e-03,15
-2.1000e-03,14.84
-2.0800e-03,14.92
-2.0600e-03,15.24
-2.0400e-03,15.32
-2.0200e-03,14.92
-2.0000e-03,14.84
-1.9800e-03,15
-1.9600e-03,15.24
-1.9400e-03,15.16
-1.9200e-03,14.84
-1.9000e-03,14.92
-1.8800e-03,14.84
-1.8600e-03,15.24
-1.8400e-03,15.16
-1.8200e-03,14.84
-1.8000e-03,14.68
-1.7800e-03,15
-1.7600e-03,15.24
-1.7400e-03,15.16
-1.7200e-03,14.92
-1.7000e-03,14.68
-1.6800e-03,14.92
-1.6600e-03,15.08
-1.6400e-03,15.08
-1.6200e-03,14.84
-1.6000e-03,14.84
-1.5800e-03,14.92
-1.5600e-03,15.08
-1.5400e-03,15.16
-1.5200e-03,14.84
-1.5000e-03,14.84
-1.4800e-03,15
-1.4600e-03,15.24
-1.4400e-03,15.08
-1.4200e-03,14.92
-1.4000e-03,14.76
-1.3800e-03,14.92
-1.3600e-03,15.32
-1.3400e-03,15.16
-1.3200e-03,14.84
-1.3000e-03,14.68
-1.2800e-03,14.84
-1.2600e-03,15.24
-1.2400e-03,15.24
-1.2200e-03,14.92
-1.2000e-03,14.76
-1.1800e-03,14.92
-1.1600e-03,15.32
-1.1400e-03,15.24
-1.1200e-03,14.84
-1.1000e-03,14.76
-1.0800e-03,14.92
-1.0600e-03,15.24
-1.0400e-03,15.08
-1.0200e-03,14.92
-1.0000e-03,14.76
-9.8000e-04,14.84
-9.6000e-04,15.24
-9.4000e-04,15.08
-9.2000e-04,14.84
-9.0000e-04,14.84
-8.8000e-04,14.84
-8.6000e-04,15.16
-8.4000e-04,15.08
-8.2000e-04,14.76
-8.0000e-04,14.76
-7.8000e-04,14.92
-7.6000e-04,15.24
-7.4000e-04,15.24
-7.2000e-04,14.84
-7.0000e-04,14.84
-6.8000e-04,14.92
-6.6000e-04,15.16
-6.4000e-04,15.16
-6.2000e-04,14.84
-6.0000e-04,14.76
-5.8000e-04,14.92
-5.6000e-04,15.16
-5.4000e-04,15.24
-5.2000e-04,14.76
-5.0000e-04,14.68
-4.8000e-04,14.92
-4.6000e-04,15.24
-4.4000e-04,15.16
-4.2000e-04,14.84
-4.0000e-04,14.76
-3.8000e-04,14.76
-3.6000e-04,15.24
-3.4000e-04,15.08
-3.2000e-04,14.84
-3.0000e-04,14.84
-2.8000e-04,14.92
-2.6000e-04,15.24
-2.4000e-04,15.16
-2.2000e-04,14.92
-2.0000e-04,14.76
-1.8000e-04,15
-1.6000e-04,15.32
-1.4000e-04,15.08
-1.2000e-04,14.92
-1.0000e-04,14.68
-8.0000e-05,14.84
-6.0000e-05,15.32
-4.0000e-05,15.32
-2.0000e-05,11.96
-1.0000e-15,10.76
2.0000e-05,10.04
4.0000e-05,9.88
6.0000e-05,9.48
8.0000e-05,9.16
1.0000e-04,9
1.2000e-04,9.24
1.4000e-04,9.64
1.6000e-04,9.64
1.8000e-04,9.56
2.0000e-04,9.72
2.2000e-04,10.28
2.4000e-04,10.6
2.6000e-04,10.68
2.8000e-04,10.68
3.0000e-04,10.76
3.2000e-04,11.08
3.4000e-04,11.48
3.6000e-04,11.56
3.8000e-04,11.48
4.0000e-04,11.4
4.2000e-04,11.56
4.4000e-04,11.88
4.6000e-04,11.64
4.8000e-04,11.56
5.0000e-04,11.32
5.2000e-04,11.48
5.4000e-04,11.56
5.6000e-04,11.32
5.8000e-04,11.16
6.0000e-04,11
6.2000e-04,11.08
6.4000e-04,11.16
6.6000e-04,10.92
6.8000e-04,10.76
7.0000e-04,10.6
7.2000e-04,10.68
7.4000e-04,10.84
7.6000e-04,10.84
7.8000e-04,10.52
8.0000e-04,10.44
8.2000e-04,10.68
8.4000e-04,10.84
8.6000e-04,10.76
8.8000e-04,10.6
9.0000e-04,10.44
9.2000e-04,10.68
9.4000e-04,10.84
9.6000e-04,10.76
9.8000e-04,10.68
1.0000e-03,10.52
1.0200e-03,10.68
1.0400e-03,10.92
1.0600e-03,10.84
1.0800e-03,10.6
1.1000e-03,10.52
1.1200e-03,10.84
1.1400e-03,10.92
1.1600e-03,10.84
1.1800e-03,10.52
1.2000e-03,10.52
1.2200e-03,10.84
1.2400e-03,10.84
1.2600e-03,10.68
1.2800e-03,10.6
1.3000e-03,10.52
1.3200e-03,10.68
1.3400e-03,10.76
1.3600e-03,10.68
1.3800e-03,10.52
1.4000e-03,10.44
1.4200e-03,10.52
1.4400e-03,10.84
1.4600e-03,10.76
1.4800e-03,10.52
1.5000e-03,10.52
1.5200e-03,10.6
1.5400e-03,10.84
1.5600e-03,10.6
1.5800e-03,10.52
1.6000e-03,10.44
1.6200e-03,10.52
1.6400e-03,10.76
1.6600e-03,10.68
1.6800e-03,10.52
1.7000e-03,10.36
1.7200e-03,10.68
1.7400e-03,10.76
1.7600e-03,10.68
1.7800e-03,10.44
1.8000e-03,10.44
1.8200e-03,10.68
1.8400e-03,10.76
1.8600e-03,10.68
1.8800e-03,10.52
1.9000e-03,10.44
1.9200e-03,10.6
1.9400e-03,10.76
1.9600e-03,10.6
1.9800e-03,10.44
2.0000e-03,10.44
2.0200e-03,10.44
2.0400e-03,10.68
2.0600e-03,10.68
2.0800e-03,10.44
2.1000e-03,10.36
2.1200e-03,10.52
2.1400e-03,10.76
2.1600e-03,10.6
2.1800e-03,10.44
2.2000e-03,10.44
2.2200e-03,10.52
2.2400e-03,10.76
2.2600e-03,10.68
2.2800e-03,10.44
2.3000e-03,10.36
2.3200e-03,10.52
2.3400e-03,10.84
